coordinate_mean,exact_fraction,exact_in_wilson95,exact_probability,n,observed_probability,successes,threshold,trials,wilson95_high,wilson95_low,z_score
1,313119843606264301926053344163576361349265045995115651405929697601914062309331717222037671868698420619053704956499930323034173850662765737986672484408801585719796136592384409/846414978287404359325441419117950686115831126693279963600017397166190414922589311328900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,False,0.3699365578806463,89,0.3757333333333333,11272,90,30000,0.38122931751053896,0.3702691694337705,2.079655210769138
1,1/2,True,0.5,1,0.4998666666666667,14996,2,30000,0.5055242499966649,0.49420911747859736,-0.04618802153516497
1,4/9,True,0.4444444444444444,2,0.4488666666666667,13466,3,30000,0.45450112114178604,0.4432453056212426,1.5414473717905695
1,27/64,True,0.421875,3,0.4215,12645,4,30000,0.42709746430023127,0.4159226367603504,-0.1315191898442908
1,3125/7776,True,0.4018775720164609,5,0.39953333333333335,11986,6,30000,0.405088391160798,0.39400400144922054,-0.828171968767655
1,16777216/43046721,True,0.38974434312894585,8,0.3915666666666667,11747,9,30000,0.39710349043599164,0.38605760882093937,0.6472026620144482
1,302875106592253/793714773254144,True,0.3815918725444634,13,0.37766666666666665,11330,14,30000,0.3831679691023049,0.3721966894507036,-1.3995419334354333
1,5842587018385982521381124421/15519448971100888972574851072,True,0.3764687154334921,21,0.3723666666666667,11171,22,30000,0.37785316743601166,0.3669128482586667,-1.4664520812752533
1,11756638905368616011414050501310355554617941909569536/31500214267261391312908183811814524233341217041015625,True,0.3732240931956915,34,0.371,11130,35,30000,0.3764825701868099,0.36555046212930536,-0.7964758757264349
1,524744532468751923546122657597368049278513737089035272057324643668607677682302892208099365234375/1413648658336838689425757250322558119141468666297262325417185766401503043287576967313439143755776,True,0.37119869167924313,55,0.37073333333333336,11122,56,30000,0.3762151311164669,0.36528463615017265,-0.16683539646456078
1,313119843606264301926053344163576361349265045995115651405929697601914062309331717222037671868698420619053704956499930323034173850662765737986672484408801585719796136592384409/846414978287404359325441419117950686115831126693279963600017397166190414922589311328900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,0.3699365578806463,89,0.3716333333333333,11149,90,30000,0.3771177308296602,0.36618180597895983,0.6087363466960013
1,1/2,True,0.5,1,0.5022333333333333,15067,2,30000,0.5078905574244214,0.4965755373649378,0.7736493607140902
1,4/9,True,0.4444444444444444,2,0.4417,13251,3,30000,0.44732644519125536,0.436088483367113,-0.9566268865132299
1,27/64,True,0.421875,3,0.42006666666666664,12602,4,30000,0.4256617124169214,0.41449208900272827,-0.6342147599157864
1,3125/7776,True,0.4018775720164609,5,0.40026666666666666,12008,6,30000,0.4058233259211777,0.3947355455748989,-0.5691001793629464
1,16777216/43046721,True,0.38974434312894585,8,0.3866,11598,9,30000,0.3921246759188728,0.3811043617915727,-1.1167211536354258
1,302875106592253/793714773254144,True,0.3815918725444634,13,0.3808,11424,14,30000,0.38630972476952935,0.37532079811481905,-0.2823441282867942
1,5842587018385982521381124421/15519448971100888972574851072,True,0.3764687154334921,21,0.37866666666666665,11360,22,30000,0.3841706835018363,0.3731937189867061,0.7857513022510442
1,11756638905368616011414050501310355554617941909569536/31500214267261391312908183811814524233341217041015625,True,0.3732240931956915,34,0.3747,11241,35,30000,0.38019310351477054,0.3692389813628204,0.5285408753236682
1,524744532468751923546122657597368049278513737089035272057324643668607677682302892208099365234375/1413648658336838689425757250322558119141468666297262325417185766401503043287576967313439143755776,True,0.37119869167924313,55,0.36893333333333334,11068,56,30000,0.3744098706636663,0.363490357519012,-0.8121525295421288
1,313119843606264301926053344163576361349265045995115651405929697601914062309331717222037671868698420619053704956499930323034173850662765737986672484408801585719796136592384409/846414978287404359325441419117950686115831126693279963600017397166190414922589311328900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,0.3699365578806463,89,0.3655333333333333,10966,90,30000,0.37099971148524863,0.36010138731661406,-1.5797039144859848
